Age,Annual Income,Gender,Home Owner,Marital Status,Monthly Billed Amount,Uses Voice Service
33,67056,Male,Yes,Married,90,No
33,67056,Male,Yes,Married,90,No
15,105565,Female,No,Married,98,No
15,105565,Female,No,Married,98,No
34,169848,Male,Yes,Married,76,No
34,169848,Male,Yes,Married,76,No
14,73200,Female,Yes,Single,7,No
14,73200,Female,Yes,Single,7,No
76,158328,Male,Yes,Single,95,Yes
76,158328,Male,Yes,Single,95,Yes
32,93821,Male,Yes,Single,15,No
32,93821,Male,Yes,Single,15,No
32,93821,Male,Yes,Single,15,No
65,123006,Male,Yes,Single,15,No
65,123006,Male,Yes,Single,15,No
60,219430,Male,Yes,Single,103,Yes
60,219430,Male,Yes,Single,103,Yes
37,56529,Female,Yes,Single,63,No
37,56529,Female,Yes,Single,63,No
37,56529,Female,Yes,Single,63,No
61,230726,Female,No,Single,103,No
61,230726,Female,No,Single,103,No
38,67825,Male,Yes,Single,63,No
38,67825,Male,Yes,Single,63,No
38,67825,Male,Yes,Single,63,No
34,207910,Female,No,Married,2,No
34,207910,Female,No,Married,2,No
16,154923,Female,Yes,Single,23,No
16,154923,Female,Yes,Single,23,No
59,187065,Male,Yes,Single,12,Yes
59,187065,Male,Yes,Single,12,Yes
27,21207,Female,Yes,Married,104,Yes
27,21207,Female,Yes,Married,104,Yes
27,21207,Female,Yes,Married,104,Yes
37,24163,Female,No,Single,93,No
37,24163,Female,No,Single,93,No
37,24163,Female,No,Single,93,No
35,219206,Female,Yes,Married,2,No
35,219206,Female,Yes,Married,2,No
35,219206,Female,Yes,Married,2,No
72,108306,Male,Yes,Married,64,No
72,108306,Male,Yes,Married,64,No
26,227545,Male,Yes,Single,13,No
26,227545,Male,Yes,Single,13,No
70,20983,Male,Yes,Single,2,No
70,20983,Male,Yes,Single,2,No
45,53124,Male,Yes,Married,112,No
45,53124,Male,Yes,Married,112,No
21,85265,Female,Yes,Single,101,No
21,85265,Female,Yes,Single,101,No
77,38648,Male,Yes,Single,21,No
77,38648,Male,Yes,Single,21,No
75,233690,Female,Yes,Married,51,Yes
75,233690,Female,Yes,Married,51,Yes
27,59269,Male,Yes,Single,29,Yes
27,59269,Male,Yes,Single,29,Yes
25,4311,Male,Yes,Married,58,No
25,4311,Male,Yes,Married,58,No
25,4311,Male,Yes,Married,58,No
16,12651,Male,No,Single,70,No
16,12651,Male,No,Single,70,No
61,99750,Female,No,Single,30,No
61,99750,Female,No,Single,30,No
37,131891,Male,Yes,Single,19,No
37,131891,Male,Yes,Single,19,No
35,76933,Male,No,Married,48,No
35,76933,Male,No,Married,48,No
78,109075,Male,Yes,Single,37,No
78,109075,Male,Yes,Single,37,No
38,143187,Male,Yes,Single,19,No
38,143187,Male,Yes,Single,19,No
12,131667,Female,Yes,Married,38,No
12,131667,Female,Yes,Married,38,No
12,131667,Female,Yes,Married,38,No
21,192993,Male,Yes,Single,27,No
21,192993,Male,Yes,Single,27,No
61,126515,Female,Yes,Single,75,No
61,126515,Female,Yes,Single,75,No
36,158657,Male,No,Married,64,No
36,158657,Male,No,Married,64,No
13,202094,Male,No,Single,54,No
13,202094,Male,No,Single,54,No
60,94150,Male,Yes,Married,105,No
60,94150,Male,Yes,Married,105,No
32,27673,Female,Yes,Married,32,No
32,27673,Female,Yes,Married,32,No
39,34041,Female,Yes,Married,51,No
39,34041,Female,Yes,Married,51,No
18,143732,Female,No,Single,12,No
18,143732,Female,No,Single,12,No
62,175873,Male,Yes,Married,1,No
62,175873,Male,Yes,Married,1,No
46,19341,Female,No,Single,100,No
46,19341,Female,No,Single,100,No
36,234019,Female,No,Single,20,No
36,234019,Female,No,Single,20,No
15,126075,Female,Yes,Married,71,No
15,126075,Female,Yes,Married,71,No
23,74074,Female,Yes,Single,89,No
23,74074,Female,Yes,Single,89,No
39,50272,Female,No,Single,111,No
39,50272,Female,No,Single,111,No
18,1460,Male,Yes,Single,58,Yes
18,1460,Male,Yes,Single,58,Yes
39,120700,Male,Yes,Married,7,No
39,120700,Male,Yes,Married,7,No
21,67713,Male,Yes,Married,29,No
21,67713,Male,Yes,Married,29,No
78,21095,Male,Yes,Single,70,No
29,85378,Male,Yes,Single,48,No
29,85378,Male,Yes,Single,48,No
27,30420,Female,Yes,Married,77,No
27,30420,Female,Yes,Married,77,No
39,88334,Male,Yes,Married,37,No
39,88334,Male,Yes,Married,37,No
28,53013,Male,Yes,Single,78,No
28,53013,Male,Yes,Single,78,No
45,62338,Female,Yes,Married,85,No
45,62338,Female,Yes,Married,85,No
36,70677,Male,Yes,Single,97,No
36,70677,Male,Yes,Single,97,No
51,36341,Male,No,Married,14,No
51,36341,Male,No,Married,14,No
51,36341,Male,No,Married,14,No
31,178397,Female,Yes,Single,64,No
31,178397,Female,Yes,Single,64,No
67,12539,Male,Yes,Married,36,No
67,12539,Male,Yes,Married,36,No
67,12539,Male,Yes,Married,36,No
14,228203,Male,No,Single,73,No
14,228203,Male,No,Single,73,No
15,239499,Female,Yes,Married,73,No
15,239499,Female,Yes,Married,73,No
15,239499,Female,Yes,Married,73,No
28,160740,Female,Yes,Single,4,No
28,160740,Female,Yes,Single,4,No
26,73417,Female,Yes,Single,63,No
26,73417,Female,Yes,Single,63,No
26,73417,Female,Yes,Single,63,No
73,215474,Male,No,Married,114,No
73,215474,Male,No,Married,114,No
47,192657,Female,No,Single,12,No
47,192657,Female,No,Single,12,No
47,192657,Female,No,Single,12,No
26,84714,Male,Yes,Married,63,No
26,84714,Male,Yes,Married,63,No
45,148996,Male,Yes,Married,41,No
45,148996,Male,Yes,Married,41,No
36,157336,Female,No,Single,53,No
36,157336,Female,No,Single,53,No
32,47421,Male,Yes,Single,111,No
32,47421,Male,Yes,Single,111,No
32,47421,Male,Yes,Single,111,No
12,189477,Female,Yes,Single,42,No
12,189477,Female,Yes,Single,42,No
35,113674,Female,Yes,Single,82,No
35,113674,Female,Yes,Single,82,No
13,200773,Female,No,Single,42,No
13,200773,Female,No,Single,42,No
19,207142,Female,Yes,Single,61,No
19,207142,Female,Yes,Single,61,No
29,210098,Male,Yes,Married,50,No
29,210098,Male,Yes,Married,50,No
35,172805,Female,Yes,Married,98,No
35,172805,Female,Yes,Married,98,No
17,119819,Female,No,Married,0,No
17,119819,Female,No,Married,0,No
17,119819,Female,No,Married,0,No
14,64862,Female,Yes,Single,29,No
14,64862,Female,Yes,Single,29,No
51,160300,Female,Yes,Married,0,No
51,160300,Female,Yes,Married,0,No
51,160300,Female,Yes,Married,0,No
12,227539,Female,Yes,Married,88,Yes
